"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","1994",22606.834495,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23660.401982,
"AUT","GDP","TOT","USD_CAP","A","1996",24529.20805,
"AUT","GDP","TOT","USD_CAP","A","1997",25424.06297,
"AUT","GDP","TOT","USD_CAP","A","1998",26674.596858,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29380.074816,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.208017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.216514,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.472389,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37626.245494,
"AUT","GDP","TOT","USD_CAP","A","2007",39393.953567,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40935.528801,
"AUT","GDP","TOT","USD_CAP","A","2010",42017.796539,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49953.900584,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"BEL","GDP","TOT","USD_CAP","A","1970",3890.888241,"E"
"BEL","GDP","TOT","USD_CAP","A","1971",4226.204321,"E"
"BEL","GDP","TOT","USD_CAP","A","1972",4623.402061,"E"
"BEL","GDP","TOT","USD_CAP","A","1973",5159.918028,"E"
"BEL","GDP","TOT","USD_CAP","A","1974",5842.441747,"E"
"BEL","GDP","TOT","USD_CAP","A","1975",6281.531554,"E"
"BEL","GDP","TOT","USD_CAP","A","1976",6990.430468,"E"
"BEL","GDP","TOT","USD_CAP","A","1977",7462.89291,"E"
"BEL","GDP","TOT","USD_CAP","A","1978",8208.141697,"E"
"BEL","GDP","TOT","USD_CAP","A","1979",9090.764106,"E"
"BEL","GDP","TOT","USD_CAP","A","1980",10319.218925,"E"
"BEL","GDP","TOT","USD_CAP","A","1981",11265.23771,"E"
"BEL","GDP","TOT","USD_CAP","A","1982",12034.838307,"E"
"BEL","GDP","TOT","USD_CAP","A","1983",12547.761587,"E"
"BEL","GDP","TOT","USD_CAP","A","1984",13319.738573,"E"
"BEL","GDP","TOT","USD_CAP","A","1985",13965.106253,"E"
"BEL","GDP","TOT","USD_CAP","A","1986",14503.083295,"E"
"BEL","GDP","TOT","USD_CAP","A","1987",15187.53386,"E"
"BEL","GDP","TOT","USD_CAP","A","1988",16409.380323,"E"
"BEL","GDP","TOT","USD_CAP","A","1989",17580.367095,"E"
"BEL","GDP","TOT","USD_CAP","A","1990",18757.833925,"E"
"BEL","GDP","TOT","USD_CAP","A","1991",19672.654979,"E"
"BEL","GDP","TOT","USD_CAP","A","1992",20345.592565,"E"
"BEL","GDP","TOT","USD_CAP","A","1993",20547.540715,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21599.285368,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22531.303869,
"BEL","GDP","TOT","USD_CAP","A","1996",22890.275332,
"BEL","GDP","TOT","USD_CAP","A","1997",23928.083973,
"BEL","GDP","TOT","USD_CAP","A","1998",24563.991567,
"BEL","GDP","TOT","USD_CAP","A","1999",25643.320168,
"BEL","GDP","TOT","USD_CAP","A","2000",27989.142692,
"BEL","GDP","TOT","USD_CAP","A","2001",28957.269483,
"BEL","GDP","TOT","USD_CAP","A","2002",30482.159886,
"BEL","GDP","TOT","USD_CAP","A","2003",31056.821727,
"BEL","GDP","TOT","USD_CAP","A","2004",32238.387598,
"BEL","GDP","TOT","USD_CAP","A","2005",33331.115656,
"BEL","GDP","TOT","USD_CAP","A","2006",35386.112139,
"BEL","GDP","TOT","USD_CAP","A","2007",36871.587882,
"BEL","GDP","TOT","USD_CAP","A","2008",38133.402295,
"BEL","GDP","TOT","USD_CAP","A","2009",38010.54892,
"BEL","GDP","TOT","USD_CAP","A","2010",40050.43693,
"BEL","GDP","TOT","USD_CAP","A","2011",41450.360532,
"BEL","GDP","TOT","USD_CAP","A","2012",42585.15311,
"BEL","GDP","TOT","USD_CAP","A","2013",43745.951564,
"BEL","GDP","TOT","USD_CAP","A","2014",44720.458061,
"BEL","GDP","TOT","USD_CAP","A","2015",45728.923263,
"BEL","GDP","TOT","USD_CAP","A","2016",47372.602502,
"CAN","GDP","TOT","USD_CAP","A","1970",4612.321142,
"CAN","GDP","TOT","USD_CAP","A","1971",4981.036061,
"CAN","GDP","TOT","USD_CAP","A","1972",5415.264027,
"CAN","GDP","TOT","USD_CAP","A","1973",6025.15478,
"CAN","GDP","TOT","USD_CAP","A","1974",6687.532634,
"CAN","GDP","TOT","USD_CAP","A","1975",7316.495732,
"CAN","GDP","TOT","USD_CAP","A","1976",8050.176289,
"CAN","GDP","TOT","USD_CAP","A","1977",8741.685701,
"CAN","GDP","TOT","USD_CAP","A","1978",9624.273221,
"CAN","GDP","TOT","USD_CAP","A","1979",10705.840811,
"CAN","GDP","TOT","USD_CAP","A","1980",11749.437777,
"CAN","GDP","TOT","USD_CAP","A","1981",13088.226078,
"CAN","GDP","TOT","USD_CAP","A","1982",13296.312682,
"CAN","GDP","TOT","USD_CAP","A","1983",14039.959528,
"CAN","GDP","TOT","USD_CAP","A","1984",15262.329428,
"CAN","GDP","TOT","USD_CAP","A","1985",16342.506409,
"CAN","GDP","TOT","USD_CAP","A","1986",16867.542548,
"CAN","GDP","TOT","USD_CAP","A","1987",17758.032603,
"CAN","GDP","TOT","USD_CAP","A","1988",18947.277665,
"CAN","GDP","TOT","USD_CAP","A","1989",19785.85201,
"CAN","GDP","TOT","USD_CAP","A","1990",20246.426558,
"CAN","GDP","TOT","USD_CAP","A","1991",20233.032274,
"CAN","GDP","TOT","USD_CAP","A","1992",20626.478878,
"CAN","GDP","TOT","USD_CAP","A","1993",21436.556004,
"CAN","GDP","TOT","USD_CAP","A","1994",22625.751707,
"CAN","GDP","TOT","USD_CAP","A","1995",23475.872865,
"CAN","GDP","TOT","USD_CAP","A","1996",24040.285229,
"CAN","GDP","TOT","USD_CAP","A","1997",25250.965659,
"CAN","GDP","TOT","USD_CAP","A","1998",26310.940807,
"CAN","GDP","TOT","USD_CAP","A","1999",27841.270482,
"CAN","GDP","TOT","USD_CAP","A","2000",29362.679083,
"CAN","GDP","TOT","USD_CAP","A","2001",30214.286487,
"CAN","GDP","TOT","USD_CAP","A","2002",30964.680492,
"CAN","GDP","TOT","USD_CAP","A","2003",32341.467665,
"CAN","GDP","TOT","USD_CAP","A","2004",33915.178124,
"CAN","GDP","TOT","USD_CAP","A","2005",36328.767057,
"CAN","GDP","TOT","USD_CAP","A","2006",38110.988049,
"CAN","GDP","TOT","USD_CAP","A","2007",39544.657592,
"CAN","GDP","TOT","USD_CAP","A","2008",40377.98801,
"CAN","GDP","TOT","USD_CAP","A","2009",38896.015825,
"CAN","GDP","TOT","USD_CAP","A","2010",40106.220473,
"CAN","GDP","TOT","USD_CAP","A","2011",41662.530678,
"CAN","GDP","TOT","USD_CAP","A","2012",42246.69767,
"CAN","GDP","TOT","USD_CAP","A","2013",44211.03741,
"CAN","GDP","TOT","USD_CAP","A","2014",45627.577143,
"CAN","GDP","TOT","USD_CAP","A","2015",44509.789788,
"CAN","GDP","TOT","USD_CAP","A","2016",44916.530045,
"CZE","GDP","TOT","USD_CAP","A","1990",12623.952499,"E"
"CZE","GDP","TOT","USD_CAP","A","1991",11595.502225,"E"
"CZE","GDP","TOT","USD_CAP","A","1992",11789.242868,"E"
"CZE","GDP","TOT","USD_CAP","A","1993",12061.071379,"E"
"CZE","GDP","TOT","USD_CAP","A","1994",12670.19469,"E"
"CZE","GDP","TOT","USD_CAP","A","1995",13747.846502,
"CZE","GDP","TOT","USD_CAP","A","1996",14583.274675,
"CZE","GDP","TOT","USD_CAP","A","1997",14731.314425,
"CZE","GDP","TOT","USD_CAP","A","1998",14905.572895,
"CZE","GDP","TOT","USD_CAP","A","1999",15325.709916,
"CZE","GDP","TOT","USD_CAP","A","2000",16163.316985,
"CZE","GDP","TOT","USD_CAP","A","2001",17541.461572,
"CZE","GDP","TOT","USD_CAP","A","2002",18182.35455,
"CZE","GDP","TOT","USD_CAP","A","2003",19411.512796,
"CZE","GDP","TOT","USD_CAP","A","2004",20779.142527,
"CZE","GDP","TOT","USD_CAP","A","2005",21907.305595,
"CZE","GDP","TOT","USD_CAP","A","2006",23712.242435,
"CZE","GDP","TOT","USD_CAP","A","2007",26064.506576,
"CZE","GDP","TOT","USD_CAP","A","2008",27724.418767,
"CZE","GDP","TOT","USD_CAP","A","2009",27474.197993,
"CZE","GDP","TOT","USD_CAP","A","2010",27554.742856,
"CZE","GDP","TOT","USD_CAP","A","2011",28795.816027,
"CZE","GDP","TOT","USD_CAP","A","2012",29051.390424,
"CZE","GDP","TOT","USD_CAP","A","2013",30496.020039,
"CZE","GDP","TOT","USD_CAP","A","2014",32265.045158,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35234.017075,
"DNK","GDP","TOT","USD_CAP","A","1966",3478.762434,
"DNK","GDP","TOT","USD_CAP","A","1967",3688.285602,
"DNK","GDP","TOT","USD_CAP","A","1968",4005.792223,
"DNK","GDP","TOT","USD_CAP","A","1969",4487.227813,
"DNK","GDP","TOT","USD_CAP","A","1970",4241.825539,
"DNK","GDP","TOT","USD_CAP","A","1971",4567.655114,
"DNK","GDP","TOT","USD_CAP","A","1972",4923.571744,
"DNK","GDP","TOT","USD_CAP","A","1973",5373.645282,
"DNK","GDP","TOT","USD_CAP","A","1974",5765.057887,
"DNK","GDP","TOT","USD_CAP","A","1975",6188.903894,
"DNK","GDP","TOT","USD_CAP","A","1976",6898.624738,
"DNK","GDP","TOT","USD_CAP","A","1977",7440.834053,
"DNK","GDP","TOT","USD_CAP","A","1978",8116.00079,
"DNK","GDP","TOT","USD_CAP","A","1979",9106.228134,
"DNK","GDP","TOT","USD_CAP","A","1980",9869.271777,
"DNK","GDP","TOT","USD_CAP","A","1981",10735.34707,
"DNK","GDP","TOT","USD_CAP","A","1982",11827.835985,
"DNK","GDP","TOT","USD_CAP","A","1983",12620.053403,
"DNK","GDP","TOT","USD_CAP","A","1984",13628.082763,
"DNK","GDP","TOT","USD_CAP","A","1985",14616.224621,
"DNK","GDP","TOT","USD_CAP","A","1986",15620.447369,
"DNK","GDP","TOT","USD_CAP","A","1987",16025.445084,
"DNK","GDP","TOT","USD_CAP","A","1988",16578.770269,
"DNK","GDP","TOT","USD_CAP","A","1989",17333.119123,
"DNK","GDP","TOT","USD_CAP","A","1990",18218.833236,
"DNK","GDP","TOT","USD_CAP","A","1991",19045.568983,
"DNK","GDP","TOT","USD_CAP","A","1992",19795.524341,
"DNK","GDP","TOT","USD_CAP","A","1993",20196.393212,
"DNK","GDP","TOT","USD_CAP","A","1994",21656.671475,
"DNK","GDP","TOT","USD_CAP","A","1995",22675.672371,
"DNK","GDP","TOT","USD_CAP","A","1996",23715.860121,
"DNK","GDP","TOT","USD_CAP","A","1997",24925.746176,
"DNK","GDP","TOT","USD_CAP","A","1998",25819.58153,
"DNK","GDP","TOT","USD_CAP","A","1999",26657.832804,
"DNK","GDP","TOT","USD_CAP","A","2000",28670.781581,
"DNK","GDP","TOT","USD_CAP","A","2001",29459.416759,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953104,
"DNK","GDP","TOT","USD_CAP","A","2003",30789.521476,
"DNK","GDP","TOT","USD_CAP","A","2004",32917.963309,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.878002,
"DNK","GDP","TOT","USD_CAP","A","2006",37297.519247,
"DNK","GDP","TOT","USD_CAP","A","2007",38978.774118,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.997487,
"DNK","GDP","TOT","USD_CAP","A","2009",40340.384738,
"DNK","GDP","TOT","USD_CAP","A","2010",43004.922244,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.951375,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.543206,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.938839,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477296,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.299718,
"DNK","GDP","TOT","USD_CAP","A","2016",50685.430829,
"FIN","GDP","TOT","USD_CAP","A","1970",3387.778441,"E"
"FIN","GDP","TOT","USD_CAP","A","1971",3638.665155,"E"
"FIN","GDP","TOT","USD_CAP","A","1972",4064.9131,"E"
"FIN","GDP","TOT","USD_CAP","A","1973",4561.548397,"E"
"FIN","GDP","TOT","USD_CAP","A","1974",5105.594006,"E"
"FIN","GDP","TOT","USD_CAP","A","1975",5654.60168,"E"
"FIN","GDP","TOT","USD_CAP","A","1976",5968.226734,"E"
"FIN","GDP","TOT","USD_CAP","A","1977",6336.537421,"E"
"FIN","GDP","TOT","USD_CAP","A","1978",6960.285379,"E"
"FIN","GDP","TOT","USD_CAP","A","1979",8053.910134,"E"
"FIN","GDP","TOT","USD_CAP","A","1980",9226.000345,
"FIN","GDP","TOT","USD_CAP","A","1981",10186.05058,
"FIN","GDP","TOT","USD_CAP","A","1982",11087.141738,
"FIN","GDP","TOT","USD_CAP","A","1983",11810.278011,
"FIN","GDP","TOT","USD_CAP","A","1984",12562.387503,
"FIN","GDP","TOT","USD_CAP","A","1985",13362.172122,
"FIN","GDP","TOT","USD_CAP","A","1986",13957.325173,
"FIN","GDP","TOT","USD_CAP","A","1987",14769.71309,
"FIN","GDP","TOT","USD_CAP","A","1988",16040.496836,
"FIN","GDP","TOT","USD_CAP","A","1989",17454.262977,
"FIN","GDP","TOT","USD_CAP","A","1990",18149.572024,
"FIN","GDP","TOT","USD_CAP","A","1991",17557.47672,
"FIN","GDP","TOT","USD_CAP","A","1992",17263.129716,
"FIN","GDP","TOT","USD_CAP","A","1993",17457.856285,
"FIN","GDP","TOT","USD_CAP","A","1994",18453.277315,
"FIN","GDP","TOT","USD_CAP","A","1995",19557.891589,
"FIN","GDP","TOT","USD_CAP","A","1996",20057.553674,
"FIN","GDP","TOT","USD_CAP","A","1997",21778.795299,
"FIN","GDP","TOT","USD_CAP","A","1998",23558.552073,
"FIN","GDP","TOT","USD_CAP","A","1999",24768.529997,
"FIN","GDP","TOT","USD_CAP","A","2000",26752.931802,
"FIN","GDP","TOT","USD_CAP","A","2001",27770.629409,
"FIN","GDP","TOT","USD_CAP","A","2002",28567.171807,
"FIN","GDP","TOT","USD_CAP","A","2003",28984.97356,
"FIN","GDP","TOT","USD_CAP","A","2004",31117.977605,
"FIN","GDP","TOT","USD_CAP","A","2005",31993.376199,
"FIN","GDP","TOT","USD_CAP","A","2006",34362.819176,
"FIN","GDP","TOT","USD_CAP","A","2007",37703.315125,
"FIN","GDP","TOT","USD_CAP","A","2008",39969.392258,
"FIN","GDP","TOT","USD_CAP","A","2009",37829.813305,
"FIN","GDP","TOT","USD_CAP","A","2010",38737.068591,
"FIN","GDP","TOT","USD_CAP","A","2011",40683.337419,
"FIN","GDP","TOT","USD_CAP","A","2012",40619.937023,
"FIN","GDP","TOT","USD_CAP","A","2013",41293.293616,
"FIN","GDP","TOT","USD_CAP","A","2014",41462.716744,
"FIN","GDP","TOT","USD_CAP","A","2015",42213.488867,
"FIN","GDP","TOT","USD_CAP","A","2016",43729.994198,
"FRA","GDP","TOT","USD_CAP","A","1960",1807.175059,
"FRA","GDP","TOT","USD_CAP","A","1961",1892.960772,
"FRA","GDP","TOT","USD_CAP","A","1962",2036.181205,
"FRA","GDP","TOT","USD_CAP","A","1963",2138.997489,
"FRA","GDP","TOT","USD_CAP","A","1964",2294.496424,
"FRA","GDP","TOT","USD_CAP","A","1965",2456.145844,
"FRA","GDP","TOT","USD_CAP","A","1966",2654.479048,
"FRA","GDP","TOT","USD_CAP","A","1967",2838.087508,
"FRA","GDP","TOT","USD_CAP","A","1968",3090.801782,
"FRA","GDP","TOT","USD_CAP","A","1969",3480.062658,
"FRA","GDP","TOT","USD_CAP","A","1970",3687.886138,
"FRA","GDP","TOT","USD_CAP","A","1971",4042.323312,
"FRA","GDP","TOT","USD_CAP","A","1972",4368.325089,
"FRA","GDP","TOT","USD_CAP","A","1973",4860.904402,
"FRA","GDP","TOT","USD_CAP","A","1974",5490.27142,
"FRA","GDP","TOT","USD_CAP","A","1975",5913.692353,
"FRA","GDP","TOT","USD_CAP","A","1976",6484.877778,
"FRA","GDP","TOT","USD_CAP","A","1977",7094.192655,
"FRA","GDP","TOT","USD_CAP","A","1978",7860.746123,
"FRA","GDP","TOT","USD_CAP","A","1979",8776.733597,
"FRA","GDP","TOT","USD_CAP","A","1980",9670.567054,
"FRA","GDP","TOT","USD_CAP","A","1981",10638.405919,
"FRA","GDP","TOT","USD_CAP","A","1982",11509.164111,
"FRA","GDP","TOT","USD_CAP","A","1983",12043.1847,
"FRA","GDP","TOT","USD_CAP","A","1984",12604.989233,
"FRA","GDP","TOT","USD_CAP","A","1985",13148.868875,
"FRA","GDP","TOT","USD_CAP","A","1986",13657.290306,
"FRA","GDP","TOT","USD_CAP","A","1987",14275.798477,
"FRA","GDP","TOT","USD_CAP","A","1988",15391.406941,
"FRA","GDP","TOT","USD_CAP","A","1989",16590.50194,
"FRA","GDP","TOT","USD_CAP","A","1990",17618.095048,
"FRA","GDP","TOT","USD_CAP","A","1991",18313.018204,
"FRA","GDP","TOT","USD_CAP","A","1992",18935.801433,
"FRA","GDP","TOT","USD_CAP","A","1993",19179.134503,
"FRA","GDP","TOT","USD_CAP","A","1994",19976.281731,
"FRA","GDP","TOT","USD_CAP","A","1995",20749.602905,
"FRA","GDP","TOT","USD_CAP","A","1996",21335.414746,
"FRA","GDP","TOT","USD_CAP","A","1997",22245.065268,
"FRA","GDP","TOT","USD_CAP","A","1998",23363.053828,
"FRA","GDP","TOT","USD_CAP","A","1999",24311.403864,
"FRA","GDP","TOT","USD_CAP","A","2000",26098.315685,
"FRA","GDP","TOT","USD_CAP","A","2001",27505.760589,
"FRA","GDP","TOT","USD_CAP","A","2002",28528.156107,
"FRA","GDP","TOT","USD_CAP","A","2003",28145.942902,
"FRA","GDP","TOT","USD_CAP","A","2004",29038.567562,
"FRA","GDP","TOT","USD_CAP","A","2005",30504.058784,
"FRA","GDP","TOT","USD_CAP","A","2006",32441.180776,
"FRA","GDP","TOT","USD_CAP","A","2007",34095.407473,
"FRA","GDP","TOT","USD_CAP","A","2008",35102.870428,
"FRA","GDP","TOT","USD_CAP","A","2009",34693.236376,
"FRA","GDP","TOT","USD_CAP","A","2010",35909.162325,
"FRA","GDP","TOT","USD_CAP","A","2011",37447.949543,
"FRA","GDP","TOT","USD_CAP","A","2012",37684.198067,
"FRA","GDP","TOT","USD_CAP","A","2013",39528.473644,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40861.100567,
"FRA","GDP","TOT","USD_CAP","A","2016",42029.852327,"P"
"DEU","GDP","TOT","USD_CAP","A","1970",4036.886374,"E"
"DEU","GDP","TOT","USD_CAP","A","1971",4338.885541,"E"
"DEU","GDP","TOT","USD_CAP","A","1972",4698.906358,"E"
"DEU","GDP","TOT","USD_CAP","A","1973",5177.341024,"E"
"DEU","GDP","TOT","USD_CAP","A","1974",5691.804468,"E"
"DEU","GDP","TOT","USD_CAP","A","1975",6188.619448,"E"
"DEU","GDP","TOT","USD_CAP","A","1976",6884.023435,"E"
"DEU","GDP","TOT","USD_CAP","A","1977",7571.187317,"E"
"DEU","GDP","TOT","USD_CAP","A","1978",8356.405494,"E"
"DEU","GDP","TOT","USD_CAP","A","1979",9422.643112,"E"
"DEU","GDP","TOT","USD_CAP","A","1980",10392.056423,"E"
"DEU","GDP","TOT","USD_CAP","A","1981",11418.804274,"E"
"DEU","GDP","TOT","USD_CAP","A","1982",12089.207141,"E"
"DEU","GDP","TOT","USD_CAP","A","1983",12795.042261,"E"
"DEU","GDP","TOT","USD_CAP","A","1984",13679.207428,"E"
"DEU","GDP","TOT","USD_CAP","A","1985",14473.41299,"E"
"DEU","GDP","TOT","USD_CAP","A","1986",15098.33892,"E"
"DEU","GDP","TOT","USD_CAP","A","1987",15682.927892,"E"
"DEU","GDP","TOT","USD_CAP","A","1988",16752.469729,"E"
"DEU","GDP","TOT","USD_CAP","A","1989",17958.380949,"E"
"DEU","GDP","TOT","USD_CAP","A","1990",19439.916116,"E"
"DEU","GDP","TOT","USD_CAP","A","1991",20963.090228,
"DEU","GDP","TOT","USD_CAP","A","1992",21710.235381,
"DEU","GDP","TOT","USD_CAP","A","1993",21890.824361,
"DEU","GDP","TOT","USD_CAP","A","1994",22850.960275,
"DEU","GDP","TOT","USD_CAP","A","1995",23688.500504,
"DEU","GDP","TOT","USD_CAP","A","1996",24242.40901,
"DEU","GDP","TOT","USD_CAP","A","1997",24803.19719,
"DEU","GDP","TOT","USD_CAP","A","1998",25580.030643,
"DEU","GDP","TOT","USD_CAP","A","1999",26579.739076,
"DEU","GDP","TOT","USD_CAP","A","2000",27550.967728,
"DEU","GDP","TOT","USD_CAP","A","2001",28766.845625,
"DEU","GDP","TOT","USD_CAP","A","2002",29654.218685,
"DEU","GDP","TOT","USD_CAP","A","2003",30352.281359,
"DEU","GDP","TOT","USD_CAP","A","2004",31826.308258,
"DEU","GDP","TOT","USD_CAP","A","2005",32413.540064,
"DEU","GDP","TOT","USD_CAP","A","2006",34749.443003,
"DEU","GDP","TOT","USD_CAP","A","2007",37024.370995,
"DEU","GDP","TOT","USD_CAP","A","2008",38662.606129,
"DEU","GDP","TOT","USD_CAP","A","2009",37695.68517,
"DEU","GDP","TOT","USD_CAP","A","2010",39916.136511,
"DEU","GDP","TOT","USD_CAP","A","2011",42692.50173,
"DEU","GDP","TOT","USD_CAP","A","2012",43564.07389,
"DEU","GDP","TOT","USD_CAP","A","2013",45231.971754,
"DEU","GDP","TOT","USD_CAP","A","2014",47190.49763,
"DEU","GDP","TOT","USD_CAP","A","2015",47979.241412,
